Date,Price,Open,High,Low,Vol.,Change %
27/10/2023,74.4,74.18,75.74,73.66,1.57M,-0.51%
30/10/2023,75.58,74.6,75.92,74.5,780.38K,1.59%
31/10/2023,76.94,75.76,76.94,75.72,1.45M,1.80%
01/11/2023,77.48,77.14,77.68,76.34,1.02M,0.70%
02/11/2023,78.18,77.48,78.34,77.34,577.29K,0.90%
03/11/2023,77.74,78.02,78.16,77.32,624.53K,-0.56%
06/11/2023,78.1,77.74,78.1,77.4,772.77K,0.46%
07/11/2023,78.64,78.18,78.64,77.7,568.02K,0.69%
08/11/2023,79.04,78.38,79.28,78.1,548.58K,0.51%
09/11/2023,78.74,78.7,79.2,78.56,1.13M,-0.38%
10/11/2023,78.32,78.74,79.02,78.26,374.87K,-0.53%
13/11/2023,78.32,78.44,78.66,77.94,426.98K,0.00%
14/11/2023,78.36,78.4,78.4,77.9,667.48K,0.05%
15/11/2023,76.04,78.18,78.22,76.04,1.96M,-2.96%
16/11/2023,75.32,76.16,76.4,75.32,1.05M,-0.95%
17/11/2023,77.86,76.62,78.56,76.28,1.36M,3.37%
20/11/2023,78.26,77.64,78.26,77.48,1.01M,0.51%
21/11/2023,78.06,78.2,78.2,77.7,728.88K,-0.26%
22/11/2023,79.12,78.32,79.22,78.32,759.67K,1.36%
23/11/2023,79.12,79.1,79.3,78.86,509.19K,0.00%
24/11/2023,79.4,79.04,79.58,78.8,409.32K,0.35%
27/11/2023,79.98,79.5,80.54,79.5,861.69K,0.73%
28/11/2023,80.34,79.66,80.64,79.28,733.24K,0.45%
29/11/2023,79.92,80.5,80.64,79.38,1.20M,-0.52%
30/11/2023,79.64,79.18,79.8,78.72,6.96M,-0.35%
01/12/2023,80.32,80.72,81.26,80.28,812.45K,0.85%
04/12/2023,81.54,80.38,81.88,80.38,850.77K,1.52%
05/12/2023,81.88,81.54,82.26,81.3,667.35K,0.42%
06/12/2023,81.64,81.84,81.92,81.28,562.15K,-0.29%
07/12/2023,80.9,81.6,81.68,80.52,586.14K,-0.91%
08/12/2023,80.9,80.82,81.28,80.5,746.83K,0.00%
11/12/2023,80.5,79.3,80.5,78.92,1.32M,-0.49%
12/12/2023,80.96,80.32,81.56,80.24,943.96K,0.57%
13/12/2023,80.8,80.8,81.16,80.24,1.02M,-0.20%
14/12/2023,79.94,80.86,81.44,79.9,870.68K,-1.06%
15/12/2023,78.14,79.76,79.76,78.02,1.94M,-2.25%
18/12/2023,77.92,78.2,78.84,77.84,637.16K,-0.28%
19/12/2023,78,78,78.62,77.46,982.93K,0.10%
20/12/2023,77.42,78.04,78.06,77.42,1.35M,-0.74%
21/12/2023,77.66,77.42,77.8,77.36,583.28K,0.31%
22/12/2023,77.28,77.6,78.06,77.22,405.28K,-0.49%
27/12/2023,77.72,77.2,78.26,77.16,677.50K,0.57%
28/12/2023,78.28,77.6,78.48,77.6,609.92K,0.72%
29/12/2023,78.84,78.5,78.94,78.5,682.60K,0.72%
02/01/2024,78.94,79,79.38,78.5,545.10K,0.13%
03/01/2024,80.84,79.08,81.3,79.08,1.10M,2.41%
04/01/2024,80.88,80.82,81.18,80.5,1.10M,0.05%
