Date,Price,Open,High,Low,Vol.,Change %
08/06/2023,11.6367,11.6648,11.688,11.6259,,-0.08%
09/06/2023,11.6183,11.6426,11.6903,11.6181,,-0.16%
12/06/2023,11.6305,11.6421,11.6614,11.5857,,0.11%
13/06/2023,11.5292,11.6473,11.6595,11.5164,,-0.87%
14/06/2023,11.6079,11.5299,11.6649,11.4822,,0.68%
15/06/2023,11.5947,11.6084,11.6746,11.5692,,-0.11%
16/06/2023,11.6338,11.617,11.6683,11.5722,,0.34%
19/06/2023,11.7029,11.6477,11.7422,11.6087,,0.59%
20/06/2023,11.7735,11.71,11.8203,11.6915,,0.60%
21/06/2023,11.6933,11.7783,11.8095,11.689,,-0.68%
22/06/2023,11.7125,11.712,11.7615,11.6862,,0.16%
23/06/2023,11.6689,11.7303,11.7524,11.6586,,-0.37%
26/06/2023,11.6994,11.6785,11.7277,11.6631,,0.26%
27/06/2023,11.7452,11.6951,11.7642,11.6683,,0.39%
28/06/2023,11.7624,11.749,11.8174,11.7291,,0.15%
29/06/2023,11.8024,11.7744,11.8525,11.7089,,0.34%
30/06/2023,11.7588,11.8041,11.8433,11.7564,,-0.37%
03/07/2023,11.8168,11.7811,11.8526,11.751,,0.49%
04/07/2023,11.7599,11.8308,11.8546,11.7646,,-0.48%
05/07/2023,11.8655,11.7871,11.8878,11.7582,,0.90%
06/07/2023,11.8921,11.873,11.9429,11.8577,,0.22%
07/07/2023,11.8804,11.907,11.9537,11.8577,,-0.10%
10/07/2023,11.823,11.8715,11.9239,11.8253,,-0.48%
11/07/2023,11.7333,11.833,11.8497,11.723,,-0.76%
12/07/2023,11.5519,11.7416,11.7653,11.5442,,-1.55%
13/07/2023,11.4399,11.556,11.5772,11.4025,,-0.97%
14/07/2023,11.4852,11.4486,11.5276,11.4156,,0.40%
17/07/2023,11.5143,11.5019,11.5429,11.4396,,0.25%
18/07/2023,11.4574,11.5227,11.5494,11.445,,-0.49%
19/07/2023,11.4927,11.4728,11.5365,11.437,,0.31%
20/07/2023,11.5082,11.5028,11.5459,11.4607,,0.13%
21/07/2023,11.5508,11.5205,11.583,11.5026,,0.37%
24/07/2023,11.513,11.5588,11.6075,11.5072,,-0.33%
25/07/2023,11.4517,11.5178,11.5422,11.4494,,-0.53%
26/07/2023,11.5176,11.4638,11.5755,11.4404,,0.58%
27/07/2023,11.5334,11.5303,11.5613,11.4711,,0.14%
28/07/2023,11.61,11.5434,11.6341,11.5069,,0.66%
31/07/2023,11.5656,11.5963,11.6378,11.534,,-0.38%
01/08/2023,11.6438,11.5749,11.6659,11.5549,,0.68%
02/08/2023,11.7039,11.6465,11.755,11.6052,,0.52%
03/08/2023,11.7088,11.7249,11.7641,11.6805,,0.04%
04/08/2023,11.6448,11.7126,11.745,11.6238,,-0.55%
07/08/2023,11.6354,11.6525,11.715,11.6136,,-0.08%
08/08/2023,11.7268,11.6355,11.7645,11.6236,,0.79%
09/08/2023,11.7031,11.7306,11.7865,11.6812,,-0.20%
10/08/2023,11.7415,11.7147,11.7683,11.6566,,0.33%
11/08/2023,11.8464,11.7532,11.8861,11.7336,,0.89%
14/08/2023,11.7408,11.8573,11.8912,11.7568,,-0.89%
15/08/2023,11.8333,11.7457,11.8707,11.7383,,0.79%
16/08/2023,11.8689,11.8382,11.9078,11.8117,,0.30%
17/08/2023,11.875,11.8731,11.9106,11.8453,,0.05%
18/08/2023,11.9272,11.8862,11.959,11.8435,,0.44%
21/08/2023,11.9221,11.9522,11.9693,11.8717,,-0.04%
22/08/2023,11.8509,11.943,11.9593,11.8393,,-0.60%
23/08/2023,11.8383,11.8562,11.9291,11.8342,,-0.11%
24/08/2023,11.8829,11.8409,11.9262,11.7833,,0.38%
25/08/2023,11.9391,11.8863,11.9572,11.8658,,0.47%
28/08/2023,11.8749,11.9483,11.9733,11.8728,,-0.54%
29/08/2023,11.8213,11.8788,11.9256,11.8113,,-0.45%
30/08/2023,11.8381,11.8278,11.867,11.7921,,0.14%
31/08/2023,11.8692,11.8419,11.8952,11.8151,,0.26%
01/09/2023,11.8842,11.8785,11.9301,11.8465,,0.13%
04/09/2023,11.8613,11.9051,11.9277,11.8601,,-0.19%
05/09/2023,11.8889,11.8684,11.9471,11.8301,,0.23%
06/09/2023,11.9109,11.9047,11.9374,11.8813,,0.19%
07/09/2023,11.9184,11.9176,11.9412,11.8827,,0.06%
08/09/2023,11.8946,11.9209,11.9367,11.8771,,-0.20%
11/09/2023,11.9028,11.884,11.9248,11.8604,,0.07%
12/09/2023,11.901,11.9093,11.9502,11.8757,,-0.02%
13/09/2023,11.9439,11.9158,11.9753,11.9014,,0.36%
14/09/2023,11.8864,11.9475,11.9719,11.8902,,-0.48%
15/09/2023,11.9168,11.9006,11.9369,11.8664,,0.26%
18/09/2023,11.9109,11.9108,11.997,11.8972,,-0.05%
19/09/2023,11.9137,11.9216,11.9414,11.8676,,0.02%
20/09/2023,11.8736,11.9277,11.9411,11.8273,,-0.34%
21/09/2023,11.9037,11.8763,11.9913,11.7626,,0.25%
22/09/2023,11.8616,11.9075,11.9282,11.8275,,-0.35%
25/09/2023,11.7026,11.8657,11.8782,11.6821,,-1.34%
26/09/2023,11.6119,11.7139,11.7545,11.6167,,-0.78%
27/09/2023,11.6163,11.6234,11.6618,11.5593,,0.04%
28/09/2023,11.5253,11.6237,11.6383,11.5301,,-0.78%
29/09/2023,11.5432,11.5494,11.5709,11.4747,,0.16%
02/10/2023,11.5799,11.5448,11.6113,11.5231,,0.32%
03/10/2023,11.6019,11.5819,11.6474,11.5604,,0.19%
04/10/2023,11.6193,11.609,11.6657,11.5708,,0.15%
05/10/2023,11.6028,11.6316,11.6493,11.5819,,-0.14%
06/10/2023,11.5857,11.6066,11.6451,11.5647,,-0.15%
09/10/2023,11.5849,11.6207,11.6439,11.5622,,-0.01%
10/10/2023,11.5208,11.5858,11.6091,11.5152,,-0.55%
11/10/2023,11.5739,11.5311,11.6049,11.5168,,0.46%
12/10/2023,11.576,11.5818,11.6153,11.5316,,0.02%
13/10/2023,11.5726,11.581,11.6276,11.5143,,-0.03%
16/10/2023,11.5204,11.5968,11.6257,11.5157,,-0.45%
17/10/2023,11.5314,11.5311,11.5678,11.5114,,0.10%
18/10/2023,11.6069,11.5366,11.6287,11.5249,,0.65%
19/10/2023,11.5831,11.6177,11.6544,11.5641,,-0.21%
20/10/2023,11.6006,11.5999,11.6521,11.5792,,0.15%
23/10/2023,11.7007,11.6281,11.7371,11.6119,,0.86%
24/10/2023,11.7689,11.7117,11.7854,11.6649,,0.58%
25/10/2023,11.7696,11.7738,11.8246,11.7399,,0.01%
26/10/2023,11.7801,11.775,11.8176,11.764,,0.09%
27/10/2023,11.7765,11.7891,11.8316,11.7577,,-0.03%
30/10/2023,11.8205,11.7914,11.8389,11.7613,,0.37%
31/10/2023,11.8116,11.8314,11.8499,11.8036,,-0.08%
01/11/2023,11.8144,11.8178,11.8471,11.7821,,0.02%
02/11/2023,11.7949,11.8205,11.8464,11.7852,,-0.17%
03/11/2023,11.6747,11.8177,11.832,11.6662,,-1.02%
06/11/2023,11.6905,11.7058,11.7263,11.6491,,0.14%
07/11/2023,11.6728,11.7003,11.7161,11.6527,,-0.15%
08/11/2023,11.6606,11.6828,11.711,11.6446,,-0.10%
09/11/2023,11.6509,11.6703,11.6902,11.6124,,-0.08%
10/11/2023,11.633,11.655,11.677,11.6151,,-0.15%
13/11/2023,11.5971,11.6465,11.6734,11.5884,,-0.31%
14/11/2023,11.5189,11.6004,11.6773,11.5089,,-0.67%
15/11/2023,11.4394,11.5234,11.5486,11.41,,-0.69%
16/11/2023,11.4861,11.4485,11.5253,11.4245,,0.41%
17/11/2023,11.451,11.4944,11.5169,11.4524,,-0.31%
20/11/2023,11.4235,11.4904,11.5117,11.4214,,-0.24%
21/11/2023,11.4164,11.4326,11.4444,11.3688,,-0.06%
22/11/2023,11.3997,11.4201,11.4526,11.3795,,-0.15%
23/11/2023,11.4164,11.4024,11.467,11.3482,,0.15%
24/11/2023,11.4196,11.437,11.4724,11.4,,0.03%
27/11/2023,11.4198,11.4296,11.4654,11.3914,,0.00%
28/11/2023,11.3387,11.4214,11.442,11.3381,,-0.71%
29/11/2023,11.3655,11.3441,11.3998,11.3146,,0.24%
30/11/2023,11.4249,11.3688,11.488,11.3449,,0.52%
01/12/2023,11.2821,11.4305,11.459,11.276,,-1.25%
04/12/2023,11.2995,11.3107,11.3421,11.2809,,0.15%
05/12/2023,11.3156,11.3089,11.3398,11.2806,,0.14%
06/12/2023,11.2735,11.3243,11.3418,11.2551,,-0.37%
07/12/2023,11.2094,11.2822,11.2882,11.2022,,-0.57%
08/12/2023,11.2509,11.2131,11.2951,11.1946,,0.37%
11/12/2023,11.2878,11.2551,11.3157,11.2473,,0.33%
12/12/2023,11.2566,11.2941,11.3244,11.2573,,-0.28%
13/12/2023,11.2172,11.264,11.3079,11.2008,,-0.35%
14/12/2023,11.2471,11.2347,11.2699,11.1675,,0.27%
15/12/2023,11.1748,11.2605,11.2858,11.1776,,-0.64%
18/12/2023,11.1418,11.1902,11.2743,11.1215,,-0.30%
19/12/2023,11.1508,11.1533,11.1892,11.1357,,0.08%
20/12/2023,11.1222,11.156,11.1702,11.1036,,-0.26%
21/12/2023,11.1032,11.1325,11.1525,11.0557,,-0.17%
22/12/2023,10.994,11.1132,11.137,10.9946,,-0.98%
25/12/2023,11.0267,11.0326,11.0631,11.0189,,0.30%
26/12/2023,11.0368,11.0325,11.0949,10.9988,,0.09%
27/12/2023,11.0255,11.0417,11.096,11.0096,,-0.10%
28/12/2023,11.0453,11.039,11.0671,11.014,,0.18%
29/12/2023,11.1099,11.0506,11.1514,11.0332,,0.58%
01/01/2024,11.1026,11.1196,11.1367,11.1068,,-0.07%
02/01/2024,11.1785,11.1266,11.1937,11.0862,,0.68%
03/01/2024,11.2294,11.1893,11.2586,11.1494,,0.46%
04/01/2024,11.1796,11.2447,11.2546,11.1773,,-0.44%
