Date,Price,Open,High,Low,Vol.,Change %
12/06/2023,158.58,160.46,161.13,158.57,,-1.25%
12/07/2023,158.02,158.45,158.98,157.66,,-0.35%
12/08/2023,160.51,158.46,160.85,158.36,,1.58%
12/11/2023,160.42,160.58,161.27,159.47,,-0.06%
12/12/2023,158.5,160.24,161.3,158.23,,-1.20%
12/13/2023,157.98,158.16,158.8,157.13,,-0.33%
12/14/2023,159.51,158.15,160.35,157.98,,0.97%
12/15/2023,158.53,159.99,161.91,158.33,,-0.61%
12/18/2023,160.41,158.44,161.44,158.44,,1.19%
12/19/2023,160.25,160.08,160.4,158.6,,-0.10%
12/20/2023,161.19,160.57,163.1,160.57,,0.59%
12/21/2023,160.11,160.69,161.3,159.02,,-0.67%
12/22/2023,160.96,160.49,161.79,160.49,,0.53%
12/25/2023,160.96,160.96,160.96,160.96,,0.00%
12/26/2023,160.78,160.78,160.78,160.78,,-0.11%
12/27/2023,161.03,160.85,161.99,160.85,,0.16%
12/28/2023,159.44,160.94,160.96,159.3,,-0.99%
12/29/2023,160.36,159.46,160.47,158.83,,0.58%
01/01/2024,160.36,160.36,160.36,160.36,,0.00%
01/02/2024,161.28,160.83,162.33,160.59,,0.57%
01/03/2024,161.8,161.2,162.06,159.7,,0.32%
01/04/2024,162.89,163.43,164.6,162.85,,0.67%
